IP(192.168.31.101):192.168.31.101
Trial(T) o PreTraining(P):P
Nombre Sujeto:flor_test
Radio:20
Cantidad de Banderas:360
Separacion:1
Color Bandera (rojo/amarillo/verde):amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo
Escenario(1-11,null):0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nro Protocolo:2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Angulos:20,20,20,1,20,40,1,20,40,1,20,40,1,20,40,1,1,20,40,1
Test Memoria (1Si/2No/3Solo Evaluar):1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lateralidad(I/D/M):M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Pares(S/N):N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
bandera:-1
bandera:-1
Sujeto;flor_test
Radio;20
Hora Inicio;21/12/2018 02:16:29 p.m.
NroIteracion;0
Protocolo;2
IdBandera;291
IdBanderaX;7,167359
IdBanderaY;-18,67161

IdCorrecta;291
CorrectaX;7,167359
CorrectaY;-18,67161

Captura Bandera;291
Hora;21/12/2018 02:16:51 p.m.
Inicio test memoria;21/12/2018 02:17:09 p.m.
Hora Fin Seleccion;21/12/2018 02:17:54 p.m.
Bandera Seleccionada [id];286
Bandera Seleccionada [X];5,512747
Bandera Seleccionada [Y];-19,22523
CruzX;1
CruzY;1
NroIteracion;1
Protocolo;2
IdBandera;116
IdBanderaX;-8,767423
IdBanderaY;17,97588

IdCorrecta;116
CorrectaX;-8,767423
CorrectaY;17,97588

Captura Bandera;116
Hora;21/12/2018 02:18:22 p.m.
Inicio test memoria;21/12/2018 02:18:37 p.m.
Hora Fin Seleccion;21/12/2018 02:19:15 p.m.
Bandera Seleccionada [id];70
Bandera Seleccionada [X];6,840403
Bandera Seleccionada [Y];18,79385
CruzX;-7
CruzY;-7
NroIteracion;2
Protocolo;2
IdBandera;10
IdBanderaX;19,69616
IdBanderaY;3,472964

IdCorrecta;10
CorrectaX;19,69616
CorrectaY;3,472964

Captura Bandera;10
Hora;21/12/2018 02:19:59 p.m.
Inicio test memoria;21/12/2018 02:20:24 p.m.
Hora Fin Seleccion;21/12/2018 02:20:41 p.m.
Bandera Seleccionada [id];15
Bandera Seleccionada [X];19,31852
Bandera Seleccionada [Y];5,176381
