IP(192.168.31.101):192.168.31.101
Trial(T) o PreTraining(P):P
Nombre Sujeto:flor_test
Radio:20
Cantidad de Banderas:360
Separacion:1
Color Bandera (rojo/amarillo/verde):amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo
Escenario(1-11,null):0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nro Protocolo:2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Angulos:20,20,20,1,20,40,1,20,40,1,20,40,1,20,40,1,1,20,40,1
Test Memoria (1Si/2No/3Solo Evaluar):1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lateralidad(I/D/M):M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Pares(S/N):N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
bandera:-1
bandera:-1
Sujeto;flor_test
Radio;20
Hora Inicio;21/12/2018 02:32:29 p.m.
NroIteracion;0
Protocolo;2
IdBandera;346
IdBanderaX;19,40591
IdBanderaY;-4,838438

IdCorrecta;346
CorrectaX;19,40591
CorrectaY;-4,838438

Captura Bandera;346
Hora;21/12/2018 02:33:00 p.m.
Inicio test memoria;21/12/2018 02:33:15 p.m.
Hora Fin Seleccion;21/12/2018 02:33:46 p.m.
Bandera Seleccionada [id];345
Bandera Seleccionada [X];19,31852
Bandera Seleccionada [Y];-5,176381
CruzX;-8
CruzY;-8
NroIteracion;1
Protocolo;2
IdBandera;327
IdBanderaX;16,77341
IdBanderaY;-10,89278

IdCorrecta;327
CorrectaX;16,77341
CorrectaY;-10,89278

Captura Bandera;327
Hora;21/12/2018 02:34:25 p.m.
Inicio test memoria;21/12/2018 02:34:44 p.m.
Hora Fin Seleccion;21/12/2018 02:35:14 p.m.
Bandera Seleccionada [id];330
Bandera Seleccionada [X];17,32051
Bandera Seleccionada [Y];-10
CruzX;7
CruzY;7
NroIteracion;2
Protocolo;2
IdBandera;314
IdBanderaX;13,89317
IdBanderaY;-14,3868

IdCorrecta;314
CorrectaX;13,89317
CorrectaY;-14,3868

Captura Bandera;314
Hora;21/12/2018 02:35:51 p.m.
Inicio test memoria;21/12/2018 02:36:08 p.m.
Hora Fin Seleccion;21/12/2018 02:37:03 p.m.
Bandera Seleccionada [id];322
Bandera Seleccionada [X];15,76022
Bandera Seleccionada [Y];-12,31323
