IP(192.168.31.101):192.168.31.101
Trial(T) o PreTraining(P):T
Nombre Sujeto:karina
Radio:20
Cantidad de Banderas:360
Separacion:1
Color Bandera (rojo/amarillo/verde):rojo,rojo,rojo,rojo
Escenario(1-11,null):0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nro Protocolo:2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Angulos:60,1
Test Memoria (1Si/2No/3Solo Evaluar):3,1
Lateralidad(I/D/M):D,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Pares(S/N):N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
bandera:-1
bandera:-1
Sujeto;karina
Radio;20
Hora Inicio;03/09/2019 05:27:24 p.m.
NroIteracion;0
Angulo;60
A Seleccionar;D
Protocolo;2
AparecenDeAPares;N
IdIzquierda;94
IzquierdaX;-1,395129
IzquierdaY;19,95128
IdDerecha;154
DerechaX;-17,97588
DerechaY;8,767423

IdCorrecta;154
CorrectaX;-17,97588
CorrectaY;8,767423

Hora Fin Seleccion;03/09/2019 05:31:07 p.m.
Bandera Seleccionada [id];188
Bandera Seleccionada [X];-19,80536
Bandera Seleccionada [Y];-2,783462
