IP(192.168.31.101):192.168.31.101
Trial(T) o PreTraining(P):T
Nombre Sujeto:sebastian
Radio:20
Cantidad de Banderas:360
Separacion:1
Color Bandera (rojo/amarillo/verde):rojo
Escenario(1-11,null):0
Nro Protocolo:2
Angulos:20,1
Test Memoria (1Si/2No/3Solo Evaluar):3
Lateralidad(I/D/M):M,M,M
Pares(S/N):N,N,N
Sujeto;sebastian
Radio;20
Hora Inicio;14/03/2018 12:50:58 p.m.
NroIteracion;0
Angulo;20
A Seleccionar;M
Protocolo;2
AparecenDeAPares;N
IdIzquierda;80
IzquierdaX;3,472964
IzquierdaY;19,69616
IdDerecha;100
DerechaX;-3,472964
DerechaY;19,69616

IdCorrecta;90
CorrectaX;1,224606E-15
CorrectaY;20

Hora Fin Seleccion;14/03/2018 12:51:41 p.m.
Bandera Seleccionada [id];39
Bandera Seleccionada [X];15,54292
Bandera Seleccionada [Y];12,58641
